0	-2.675016469626391E10
50	-2.350533872454412E10
100	-2.1742511930838882E10
150	-2.045998773040261E10
200	-1.9405271896109524E10
250	-1.8617489897247868E10
300	-1.8021553619119316E10
350	-1.753554281534056E10
400	-1.7164291407375061E10
450	-1.6888094740794071E10
500	-1.668955904805229E10
550	-1.6545888854289879E10
600	-1.6444011272476257E10
650	-1.6372367842328014E10
700	-1.6321126815295876E10
750	-1.6284420310403976E10
800	-1.6256063736968153E10
850	-1.6234490461583328E10
900	-1.6217723114094608E10
950	-1.6204363927446272E10
1000	-1.6193658552928701E10
1050	-1.6184095013854076E10
1100	-1.6175213759121758E10
1150	-1.616708163403261E10
1200	-1.6160762010433876E10
1250	-1.6156448213254213E10
1300	-1.6151506172011675E10
1350	-1.6148218067542349E10
1400	-1.6145315073388315E10
1450	-1.614254514809181E10
1500	-1.614001104417438E10
1550	-1.6137395347392326E10
1600	-1.6135553675152374E10
1650	-1.6133495115743834E10
1700	-1.6131599627834442E10
1750	-1.6130388741600576E10
1800	-1.6129105913137974E10
1850	-1.6128515279132273E10
1900	-1.6127371684610695E10
1950	-1.612672382126105E10
2000	-1.6126270148883251E10
2050	-1.6125617166312475E10
2100	-1.6124688490802568E10
2150	-1.612455795232216E10
2200	-1.6123892699574848E10
