year,month,week,ymw,date,topic,z_1,N
1945,4,15,1945-4-15,1945-04-11,0,57,84013
1945,4,15,1945-4-15,1945-04-12,0,114,89480
1945,4,15,1945-4-15,1945-04-13,0,66,77584
1945,4,15,1945-4-15,1945-04-14,0,85,89626
1945,4,15,1945-4-15,1945-04-15,0,103,78378
1945,4,16,1945-4-16,1945-04-16,0,46,78305
1945,4,16,1945-4-16,1945-04-17,0,69,82656
1945,4,16,1945-4-16,1945-04-18,0,51,78779
1945,4,16,1945-4-16,1945-04-19,0,86,84419
1945,4,16,1945-4-16,1945-04-20,0,73,84014
1945,4,16,1945-4-16,1945-04-21,0,97,84751
1945,4,16,1945-4-16,1945-04-22,0,85,84898
1945,4,17,1945-4-17,1945-04-23,0,56,77354
1945,4,17,1945-4-17,1945-04-24,0,63,83967
1945,4,17,1945-4-17,1945-04-25,0,105,84203
1945,4,17,1945-4-17,1945-04-26,0,48,83874
1945,4,17,1945-4-17,1945-04-27,0,48,80110
1945,4,17,1945-4-17,1945-04-28,0,53,84726
1945,4,17,1945-4-17,1945-04-29,0,41,78317
1945,4,18,1945-4-18,1945-04-30,0,52,79515
1945,5,18,1945-5-18,1945-05-01,0,33,58643
1945,5,18,1945-5-18,1945-05-02,0,82,77143
1945,5,18,1945-5-18,1945-05-03,0,148,81076
1945,5,18,1945-5-18,1945-05-04,0,84,84457
1945,5,18,1945-5-18,1945-05-05,0,61,92383
1945,5,18,1945-5-18,1945-05-06,0,80,90848
1945,5,19,1945-5-19,1945-05-07,0,80,76732
1945,5,19,1945-5-19,1945-05-08,0,55,86609
1945,5,19,1945-5-19,1945-05-09,0,172,54978
1945,5,19,1945-5-19,1945-05-10,0,17,32449
1945,5,19,1945-5-19,1945-05-11,0,114,90334
1945,5,19,1945-5-19,1945-05-12,0,117,83916
1945,5,19,1945-5-19,1945-05-13,0,103,84221
1945,5,20,1945-5-20,1945-05-14,0,66,77533
1945,5,20,1945-5-20,1945-05-15,0,72,82225
1945,5,20,1945-5-20,1945-05-16,0,80,74889
1945,5,20,1945-5-20,1945-05-17,0,91,83439
1945,5,20,1945-5-20,1945-05-18,0,81,81234
1945,5,20,1945-5-20,1945-05-19,0,64,90491
1945,5,20,1945-5-20,1945-05-20,0,61,47738
1945,5,21,1945-5-21,1945-05-21,0,25,35794
1945,5,21,1945-5-21,1945-05-22,0,84,86008
1945,5,21,1945-5-21,1945-05-23,0,79,82909
1945,5,21,1945-5-21,1945-05-24,0,86,84154
1945,5,21,1945-5-21,1945-05-25,0,101,83286
1945,5,21,1945-5-21,1945-05-26,0,58,87170
1945,5,21,1945-5-21,1945-05-27,0,94,85144
1945,5,22,1945-5-22,1945-05-28,0,36,74864
1945,5,22,1945-5-22,1945-05-29,0,91,82942
1945,5,22,1945-5-22,1945-05-30,0,71,81559
1945,5,22,1945-5-22,1945-05-31,0,81,88428
1945,6,22,1945-6-22,1945-06-01,0,58,81150
1945,6,22,1945-6-22,1945-06-02,0,49,84781
1945,6,22,1945-6-22,1945-06-03,0,50,85964
1945,6,23,1945-6-23,1945-06-04,0,40,83662
1945,6,23,1945-6-23,1945-06-05,0,66,76493
1945,6,23,1945-6-23,1945-06-06,0,46,85039
1945,6,23,1945-6-23,1945-06-07,0,52,96676
1945,6,23,1945-6-23,1945-06-08,0,57,83646
1945,6,23,1945-6-23,1945-06-09,0,68,82558
1945,6,23,1945-6-23,1945-06-10,0,60,80534
1945,6,24,1945-6-24,1945-06-11,0,42,78748
1945,6,24,1945-6-24,1945-06-12,0,61,81296
1945,6,24,1945-6-24,1945-06-13,0,77,78483
1945,6,24,1945-6-24,1945-06-14,0,55,84346
1945,6,24,1945-6-24,1945-06-15,0,38,80651
1945,6,24,1945-6-24,1945-06-16,0,59,86456
1945,6,24,1945-6-24,1945-06-17,0,67,80603
1945,6,25,1945-6-25,1945-06-18,0,55,83156
1945,6,25,1945-6-25,1945-06-19,0,38,78479
1945,6,25,1945-6-25,1945-06-20,0,191,78885
1945,6,25,1945-6-25,1945-06-21,0,72,82549
1945,6,25,1945-6-25,1945-06-22,0,61,76063
1945,6,25,1945-6-25,1945-06-23,0,71,88180
1945,6,26,1945-6-26,1945-06-25,0,48,78937
1945,6,26,1945-6-26,1945-06-26,0,60,86225
